id,chessboard
XKAotDZv,2r2r2/p1p1Nk2/3pb2p/2p3pq/2B1P1p1/2Q5/PPP2PP1/3R1RK1 w - - 8 25
Xm7neWCT,2R5/6P1/8/1k6/4PK2/r4P2/2p5/8 w - - 0 54
2KGzYnb8,8/p2nkppq/4p3/3pP3/3P1P2/6P1/P5P1/6RK w - - 0 27
ZWLHvQT9,r1b2rk1/3nb1p1/p1R1p2p/1p1p1p2/1P1P4/P2BPN2/1B3PPP/2R3K1 w - - 5 20
oOSERiCN,4r3/6pk/5p1p/2P1p3/7q/5Q2/PP2R1PK/8 w - - 0 40
3Do0Ahzx,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
mtLZC2oZ,5rk1/pbr5/1p2pqpp/3pR3/8/1PPQ4/P4PPP/1B2R1K1 w - - 0 25
hBbAzD6q,8/kP6/2K5/8/8/6p1/6P1/8 w - - 0 57
Klh8cucn,3Q4/7p/2K2P2/8/8/7P/4k3/B7 w - - 3 72
Ejecc3rw,8/8/1bP5/p7/P5B1/7p/3k2p1/6K1 w - - 6 51
VIeSJRLU,8/1p5r/p7/8/8/8/5k1K/8 w - - 47 84
3AZ0a2Xm,8/2p5/1p3k2/3Ppb2/1bP5/3K1BP1/r6P/1R6 w - - 4 45
EJVfDBjS,2r4r/1b1p1k2/p3qpp1/1p6/1P1PP3/5Pb1/P5P1/3R1RKQ w - - 0 28
sYMIizN7,8/8/4p3/6qK/4nk2/8/8/8 w - - 10 59
Eer8Udhp,r2r4/pb3pkp/1pRb4/8/5nP1/N1P2K2/PP6/R7 w - - 2 33
5yk2w0XM,8/pp4p1/4k1q1/8/2PpnR1r/3Q2P1/PP2P2P/6K1 w - - 1 33
E65nMCYu,3r2k1/1Q3ppp/2p2p2/p7/P7/2P2qPP/1P3P2/6K1 w - - 1 28
QaQSgQnj,r1bq1rk1/p2n2p1/2p1p3/1p1n1pNp/2pP3P/N5P1/PPQ1PPB1/R2R2K1 w - - 0 15
wnhdzvGh,kr6/b2r1ppp/1q3n2/nP2p3/4P3/2PP1N2/5PPP/RQB1NRK1 w - - 1 26
U4BMnxsQ,5Q2/6Q1/8/8/2K5/7k/7p/8 w - - 2 63
LdJO5MCg,8/pQ3p2/1p2p1kp/6p1/3N4/P3P3/1b3PPP/3R2K1 w - - 1 30
L0VBJIqA,8/8/7p/6p1/2k4P/pp4P1/P2K2P1/8 w - - 0 37
VXWxpxqm,1k1r4/pp3ppp/5b2/6n1/1PPrp3/P1N4N/3RBPPP/2KR4 w - - 13 23
q6qA4Rcr,8/1p5p/1P2p3/p1kp1p2/5P2/8/6PP/6K1 w - - 0 34
dPnopb02,5k2/NpQ5/6pp/3B4/8/6P1/PP5P/7K w - - 2 51
458qPV3q,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
CWiIKVei,6k1/B4pp1/4p2p/8/1p6/5nP1/PPB2P1P/1R4K1 w - - 1 32
Bgj7aQxq,8/6pk/4p2p/R3P3/4P3/2Bb1PP1/pP3K1P/r7 w - - 16 47
LTHdq6ol,8/8/8/8/1k5K/8/1P4b1/8 w - - 0 55
6BCkBvIB,r4rk1/ppp2pp1/2nqp2p/8/3P4/2P2N2/P1Q2PPP/R2R2K1 w - - 2 15
feR5FKm2,r1bqk2r/pppp1ppp/2n5/8/1b2P3/2Q5/PPP1BPPP/RNB1K2R w KQkq - 5 8
CpAwuBNg,5rk1/5p2/p3bp1p/3p4/8/5B1P/PP3PP1/R1r2RK1 w - - 0 21
YI6JiLsE,rnbqkbnr/pp1p1ppp/8/2p1p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3
UBN3WDSk,4q3/4K3/8/8/8/1k6/8/8 w - - 0 81
oT8LcaXC,r2qkb1r/pbp1n3/1pn1pppp/1B2N2Q/3PN3/2P5/PP3PPP/R1B1K2R w KQkq - 0 11
VLNX3HxT,NB5r/1b4b1/p2Qpn1k/7p/8/2PB4/PP3PPP/RN3RK1 w - - 0 19
y69OqISs,r4r2/ppp3p1/5pk1/3p4/4n2n/2P4P/PP1N1P2/R4R1K w - - 2 20
EwOLzmis,5r1k/pBP3b1/8/7p/1P3pq1/4pN2/P1R1Q1PP/3r3K w - - 0 38
5ccfqkyU,8/5pk1/8/6p1/6PP/4qK2/6P1/4q3 w - - 2 55
jkzw9Vmi,5b1r/ppk1p1p1/4Bn1p/2p4P/4P1P1/4BP2/PPP5/2KR4 w - - 1 21
o1hzMrZa,3B2k1/pp6/6p1/2b4p/2p2P1P/2P1n3/PP6/4K1R1 w - - 2 41
HA4LqLdw,1Q3b1k/6p1/p6p/1p6/3p4/5R2/1Pq2KPP/RN2r3 w - - 4 33
ksRZbHfH,r3kb1r/1pqnp1p1/pN5p/2p1p3/Q3P1bP/2P3P1/PP3PB1/R1B1R1K1 w kq - 2 17
Wr3WOWuX,8/1b3nkp/1N3pp1/pP2p3/P7/1B2P3/2P3PP/5K2 w - - 1 27
mECkIPLy,8/3R4/7p/7k/6p1/P2R3K/5q2/8 w - - 0 43
bG1kuBgN,r7/p2k1p2/Q1ppb1r1/8/5P2/6P1/P6P/R3R1K1 w - - 3 25
PrrcRP2m,rnbqk3/ppp3b1/5pp1/3pp3/3P4/2N1PNP1/PPP2PP1/R2QK2r w Qq - 0 11
plUqJvRG,6k1/4pp1p/2rp4/2p2pPP/1pP2B2/1P1P4/8/b5K1 w - - 0 32
5Iekpz5G,2rr2k1/5ppp/p1n5/1p3P2/4N2q/bNP1R3/P5QP/5R1K w - - 1 26
ET77fow5,r5rk/pp3Qpp/8/5p2/qP1B4/8/P4KPP/2R5 w - - 1 27
CLI0r6vO,r1b2rk1/1p4pp/2n1ppn1/p2pP3/2qP3P/P1B2NP1/1P3PB1/R2QK2R w KQ - 0 17
1UtzkNQJ,8/8/8/4k1p1/6P1/2P5/4rpK1/8 w - - 0 47
fQURXZEa,r1bqk2r/pppn1pp1/2n4p/4P3/2B5/BQP2N2/P4PPP/R4RK1 w kq - 3 14
NMH15kCD,r4kr1/pp3Nbp/1q2bnp1/4N3/2B1P3/8/PP2QPPP/R2R2K1 w - - 1 16
xaNZ9i2m,7k/p7/3p3p/2p1b1r1/2P5/4PBP1/6PK/7R w - - 0 32
Mngb24u0,7k/7p/7P/pp1pPp2/8/8/4nK1P/8 w - - 0 45
T5pDWRtZ,3r1bk1/5p2/p5p1/1pq1P2p/3B1P1P/1P1Q2P1/P6K/8 w - - 0 36
2LoCtvVS,8/p5pk/7q/7Q/3r2p1/P5P1/1P3PKP/4R3 w - - 6 37
1ybe98mv,8/ppp5/3n4/3k4/8/2P3PP/PP4K1/5R2 w - - 0 37
o8pdttsV,4r3/2p2k1p/b1p1Nnq1/p2pR3/3P3Q/7P/PP3PPK/8 w - - 18 33
L0CCwWaO,3q1r2/3rbppk/p7/1p2Q3/8/P3B2P/1PP2PP1/3R1RK1 w - - 1 21
0knAs1Kx,4r1k1/7p/p5pB/2Q5/3p4/3P4/PPP3rP/6K1 w - - 0 30
y0043qkg,2r3k1/5pp1/8/1p6/8/p7/2P1R1PP/5K2 w - - 0 36
gyWyC0Gw,r1b1k1r1/3q1p1p/p1p1pBp1/1p2P3/8/2bB1Q2/P1P2PPP/1R3RK1 w q - 6 17
gLpxL9Ib,r4rk1/1q2bpp1/p3pnp1/1p1pN3/3PnP2/BPPB3R/P4QPP/R5K1 w - - 3 21
eHIpih0H,7r/1p2kppp/p1nr4/3Rp3/1b2P3/4BP1B/PPP4P/2KR4 w - - 5 17
q8fxJ8Zn,3r2k1/1R1n1ppp/3p4/1P2p3/3BnN2/8/5PPP/6K1 w - - 0 26
Q54u6Ham,8/3k3q/8/5PPK/1r6/8/8/8 w - - 1 53
ht5tKI3T,b4r1k/N1r1P2p/p5p1/2p2pN1/B2b1Pn1/8/PP4PP/R1B1R1K1 w - - 1 26
nTFfVjZx,rnb2rk1/7p/p3pnp1/1p1q2N1/3P4/1Q1B1N2/PP4PP/R4RK1 w - - 2 19
YOVKeMxP,7k/pp2q2p/n2p2r1/2pP2b1/2Pr4/P1NQ1p1P/1P3P2/R2K2R1 w - - 5 25
GOJy3pFJ,8/5p1k/4p1pp/1p6/3n4/2Q3P1/PP1NqP2/3K4 w - - 18 60
qpQ9WjJ0,7R/6k1/1p3p2/5p1p/2b2K1P/Bp3P2/6r1/8 w - - 4 59
FKdIqAhC,8/8/6p1/8/6rP/4K3/1k6/8 w - - 0 49
mxzZ56Jh,r3r1k1/3b2pp/p1n1p3/2B5/2p2P2/5B2/PP4PP/4RRK1 w - - 0 27
OAt2rbcQ,r5k1/5ppp/p1n1p3/1Pp5/4PP2/PP2q3/4N1PP/R2r1R1K w - - 0 23
iwHi1zt1,3r2k1/p1p2pp1/b6p/2q1p2n/1pPnP3/4Q2P/PP1N1PP1/R2BK2R w KQ - 4 26
qPvYFidQ,r2q1rk1/p1p2p2/bpn1pn1p/4p1N1/2PP3B/P1P5/2Q2PPP/R3KB1R w KQ - 0 13
OkAEn8YJ,8/1p3k2/4p1p1/3pP3/5BP1/PP3P2/5K1p/r7 w - - 2 42
LP2ZGutV,3r4/5pkp/B3p3/8/P4nP1/7P/6q1/R4R1K w - - 0 35
3tC25kHR,r4r1k/p1p2pp1/3q1n1p/1p6/8/1PP2Q2/P4PPP/RNB1R1K1 w - - 1 19
SJyB4yOl,7Q/8/1P2N1p1/3pP3/p2P2k1/8/2r2PPP/R5K1 w - - 1 37
qGlR7aoA,8/1b1N1kpp/p3pp2/8/8/8/P4PPP/3r2K1 w - - 0 33
YpMmfI2U,5rbk/1p5p/p3p1pQ/3pN3/3P4/2P4R/PP4PP/5B1K w - - 1 40
YkqaeguC,7k/2p1r2p/5q1P/p3np1R/1pP5/4n1Q1/PP4R1/1K6 w - - 0 42
K3ZWV3dH,1r3rk1/2b2ppp/8/pp6/4P1B1/7P/PP6/5R1K w - - 0 28
Mynfr537,rnbqkbnr/pp1ppppp/8/2p5/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2
EV19oJdE,r5nr/p3bppp/2kp4/1pp5/N3P3/8/PPP2PPP/R1B2RK1 w - - 0 13
DyXVmsGr,r2q1rk1/pp1nbppp/2n1p3/2ppP3/5P2/2P2BP1/PP1PN2P/R1BQ1RK1 w - - 1 12
LUaOtNZB,3R2R1/1Q3p1k/p5pp/2b5/6P1/P6P/1PP2P2/6K1 w - - 4 37
KxbvpdA6,1k6/pp4Rp/8/1N1Pq3/8/8/PPK3P1/R7 w - - 4 36
l2BCei4F,3R1nk1/b5pp/4b3/5p2/4pP2/7P/2r1B1P1/7K w - - 0 37
juWXNi7n,5Q2/7k/8/8/7K/8/5R1P/6R1 w - - 47 87
xneKFk4A,8/6p1/R4nkp/2p1B3/1r6/2N1KP2/P7/8 w - - 1 34
kb2zaMrE,2krb1r1/2p1R3/p4R2/1p2p3/6p1/3BB1N1/PPP5/2K5 w - - 0 29
bjroDOTI,4K3/4q3/3k4/8/8/8/8/8 w - - 16 78
I1hoCjFJ,1Q3Q2/8/k7/8/6p1/5P2/6PP/7K w - - 0 50
6AsRTOoq,8/6k1/3R4/7p/P6P/1P4P1/2r1r3/5RK1 w - - 17 44
28n4SGwB,3q1rk1/B2bppbp/2pp1np1/8/4P3/2NB1P2/PrP3PP/R2Q1RK1 w - - 0 13
kg5CeRy8,2k5/7R/2K5/1p5B/1P6/8/2P5/8 w - - 15 52
Yqmpr2Jl,rnb3r1/pp3k1p/4pnq1/2p3B1/6PP/1BPP1P2/PP6/R3QRK1 w - - 1 20
z06OkHrA,8/3r2p1/5k2/4p2Q/4P2P/5P2/5P2/3qK1R1 w - - 2 47
XgnBLIJq,6k1/5R2/4Q2p/7P/2P1P1p1/1P4P1/P7/1K6 w - - 7 43
Y9DP8bIK,r1b2r1k/1p3p1p/4p2P/p2pP1QR/3b1R2/KPn5/q1P2PP1/8 w - - 2 33
epX1YEa9,3K4/8/8/8/8/8/3Q4/1k1q2Q1 w - - 15 75
qacXhzn1,6k1/5p1p/6p1/p5P1/b2p4/4p3/4K3/3q4 w - - 2 54
LeF7gBFn,8/4k3/2p2pp1/p1b1p2p/PpBnPn1P/4NP2/1PP2PK1/8 w - - 12 39
cCzXNvqH,2k3r1/5p1p/pbn1p2B/8/1P3P2/P1R5/2P3PP/6rK w - - 0 25
fKCZAFll,r2qk2r/1p2bppp/p1npbn2/8/4P3/2PB4/P3NPPP/R1BQR1K1 w kq - 0 12
rHxfHTfx,5r2/4R2p/5p1k/p4p1P/1p3R2/5PP1/2r4K/8 w - - 5 45
eSCbAM3A,2k4r/pp3R2/2p1p1p1/8/2qP4/P5Q1/1P4B1/R5K1 w - - 0 26
buaAR6sP,4r1k1/1p3ppp/p1q5/8/1PNQ4/P5PP/2P1r1BK/8 w - - 4 39
L6AEJwKN,1qr1k2r/1p3p2/p3pbpp/2Np4/3n1P1P/Q2B4/PP2KP2/2R3R1 w k - 0 29
bRj2RZ6d,6k1/pp5p/2p1pn1K/4n3/1P4p1/P2Bq1NP/2P3P1/R6R w - - 0 31
QrbNjZWH,r3k3/2b5/p4Rp1/3p4/P1p5/2P1P3/3NB1qr/2RK4 w q - 1 32
qXUOXRNK,2q1kr2/B1pRb1pp/p1P1Qp2/4p3/8/8/PP2PPPP/4KB1R w K - 6 22
WQu88j99,1r3rk1/pbpq1pp1/1pnb3p/5N2/3PB3/2P2QP1/PP1N1P1P/R3R1K1 w - - 5 19
s2nAzdbi,4r3/2p1b2p/p2r4/1p1k1pB1/8/2Q5/PPP3PP/4R2K w - - 0 25
pEemY0IA,r3k2r/ppp5/5p2/4p1pp/1PP5/3PBbP1/P3q2P/R3K3 w kq - 5 28
HBy1woXW,r3k2r/p4q1p/b7/1p1Npp1Q/7P/8/PPP2PP1/R3R1K1 w kq - 2 20
TqIpsK5i,8/8/7p/6kP/6r1/8/6qK/8 w - - 2 58
rkidKRJp,R7/5k2/8/8/7K/8/6r1/8 w - - 46 87
XlBv15NS,6k1/5pp1/4p1p1/3pP3/3P3Q/5RKP/5PP1/6qr w - - 21 39
pYP277Es,8/8/8/8/8/3p4/R1pkr3/5K2 w - - 0 60
lir3E6fD,8/3K4/k7/8/8/8/8/8 w - - 0 64
qA7KLs2J,r1b1kb1r/ppp3pp/2n5/3p1p2/3P3q/1P2P3/PBP1B2P/R2QKNNn w Qkq - 0 11
IxMuM0q0,2r2rk1/5ppp/6q1/p2R1N2/3Q4/2P2p1P/PP4P1/5RK1 w - - 4 27
vcNGx4nb,r4rk1/pp2R1pp/3P4/1PP5/P7/1b4P1/3q2B1/Q5K1 w - - 0 32
NmAgmmiA,r2q1k1r/1p1nRppp/3P4/1Npn4/6b1/5N2/PP3PPP/R1BQ2K1 w - - 1 15
Dc7XtZxI,5rk1/1pp4p/8/3P2P1/1pP5/1P3qPP/P3r1QK/R6R w - - 2 30
j0MIJp4R,r3r1k1/1pp1n1pp/3pR2n/p2P1p1q/2P5/PPBQ1N1P/5PP1/R4K2 w - - 3 25
vnTKQt11,3r3k/1p4pp/p1nq4/8/1P4Q1/P3P3/1B1r1PPP/1R1R2K1 w - - 7 29
HPHmEvki,1r3rk1/4bppp/4p3/3p4/4b1PP/2P1N3/4N2q/2RQK3 w - - 0 26
Xqb96ip5,5rk1/1p2R2p/1ppp2pQ/3P3n/2P3q1/1P6/P4P1P/5K2 w - - 2 28
K3fHmftc,8/8/2B5/8/7p/6k1/8/1r4K1 w - - 8 54
EavaPnQx,8/1p1k1p2/4p2p/2p4P/1n6/2b5/3q4/3K4 w - - 1 53
64Ua1ohP,8/8/2p3K1/1pP5/1P5P/p2k4/P3p3/5Q2 w - - 0 47
1vcpI1Zt,2r3rk/pp4R1/4q2p/4p3/3P4/8/PP4QP/6K1 w - - 1 32
iskAwCtt,r1bqkb1r/ppp2ppp/2n2n2/3p4/3p4/1P2P3/PBPP1PPP/RN1QKB1R w KQkq - 0 6
IYtZoSb5,8/8/8/8/4Q3/1P1Kb3/P4k2/5n2 w - - 1 48
Wv9uQqpc,2RQ4/1k6/8/8/8/5K2/8/5r2 w - - 1 69
3Xw9Vhbx,r3k2r/ppp3pp/2n2n2/4p3/1b1pP3/PP3QP1/1BPq1P1P/R3K1NR w KQkq - 0 13
2YU9VFvS,8/5k2/7K/6P1/8/8/8/8 w - - 1 59
TpuP0rB0,5k2/B6p/6p1/6K1/2B1nP2/8/7P/8 w - - 5 43
SHceuGUP,8/qP4pp/4k3/2Pp1p2/5P1P/3Kp3/8/8 w - - 2 44
60jDs1uS,8/4kpp1/p1p1p3/3pPp2/2PP4/2P1P3/8/r1KR4 w - - 1 31
vpG9Flov,8/8/8/8/6R1/1K5Q/5k2/8 w - - 11 69
VwwzS0Wk,2r5/1P6/6k1/1R4p1/3P2K1/5PP1/8/8 w - - 0 53
nGC8L38K,6k1/2p5/7p/p1R3p1/8/1P2P3/5BPP/1q4K1 w - - 1 31
C4OevoS0,3B4/3n4/p2P1p2/1p1p1k1p/1P1P3P/2P2K2/8/8 w - - 14 55
EbQFrQG2,8/8/p7/2kn1p1p/8/5K2/8/8 w - - 0 60
KR1E0gqG,2r4k/R5pp/4Qp2/3p1n2/1P1P4/6PP/5P2/2q2BK1 w - - 1 31
tnpb9Qov,8/8/8/8/8/3k1r2/5K2/8 w - - 0 65
xt1oHrxm,8/8/8/8/5k2/8/3KR3/5r2 w - - 13 68
W3gi82OT,8/8/8/8/5k2/6p1/4K1Q1/8 w - - 9 76
lpi6To9z,1k6/1PpB1K2/2P5/8/8/8/8/6r1 w - - 63 86
hjYXZmey,r3r1k1/pp3pp1/2pp2qp/8/2P1P3/1P1n1P2/P5PP/R3RBK1 w - - 0 24
mwoEv9zz,8/8/8/5Kpk/8/5P2/8/8 w - - 35 83
Y7CMaNox,6k1/4rpp1/7p/1N6/P4Q2/2q2K1P/3R1PP1/8 w - - 10 47
3Cjza2YJ,r1bqk2r/ppppbppp/2n2n2/4p3/2B1P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 6 5
MDKEoIww,r4rk1/ppp2ppp/8/2b5/P2pn3/2P2P1b/1P5P/RNBR1K2 w - - 1 18
rwqFBG9c,8/8/1k5p/p7/2R4N/P1P4r/4r3/5R1K w - - 22 59
lWWPb1d9,r1b1kb1r/ppp2p1p/2np1np1/4p3/6Q1/4P3/PPPP1PPP/R1B1KBNR w KQkq - 0 7
zrktxYaI,r2qr1k1/1p3ppp/p1nbpn2/3pN3/3P4/1PPB3P/P2N1PP1/R1BbR1K1 w - - 0 15
x7pBBHs1,r3k2r/p1pq1ppp/1p6/3QP1b1/8/2P5/PP3PPP/RNB2RK1 w kq - 0 15
jABkKrSZ,1Q6/2Q3K1/8/8/k7/8/8/8 w - - 9 90
MBtICa2i,2r3k1/R4p1p/6p1/P1Np1b2/3b4/2r3P1/5PP1/R5K1 w - - 0 27
2YYslt7b,8/PRpk1p2/r1p3p1/8/1P3p2/4p3/1K6/8 w - - 2 42
yrBJyF0c,8/8/1k6/4K1pp/4Pp2/5P1P/3N4/8 w - - 1 43
d14svd6J,1r4k1/5pp1/4p2p/3bP3/p1pN4/P1p2P2/1P4PP/2K5 w - - 0 33
zfoBO6xY,1r2k2r/5ppp/1n2p3/1N1p4/Pb1Pn3/2N1P3/1P1B1PPP/R3K2R w KQk - 3 18
ZkslqCAt,4k2r/5pb1/2pp3p/5P2/1p3Np1/1PPK2P1/q4PP1/3R4 w k - 0 28
KWkUmCqw,2kr4/pp2bp1r/3p4/4P3/1nBPP1P1/N1B5/PP4K1/R4R2 w - - 0 25
dEBJ6tNC,r7/p3Q2R/2p3k1/5p2/2qPpP2/4P2K/PP6/8 w - - 24 65
i5PBosNT,rnb1k2r/6pp/1p2pn2/2p5/8/2N1b3/PP4PP/R2QKB1R w KQkq - 0 15
bQ4hCEO0,6k1/7p/1P1pn1p1/r1p5/2B1P2P/8/1P4P1/6K1 w - - 0 34
m6GwgmRj,5r2/ppp2kp1/1b1p2p1/3Pp1q1/4P3/2P2P2/PP5K/R2B1R2 w - - 1 33
I8xAFW3y,8/8/8/8/p7/P7/1kp1K3/8 w - - 0 61
4pdmOE21,2rq1knr/p4ppp/8/3Q4/P3P3/2N1b3/1P2B1PP/R4R1K w - - 0 22
bdMc9zca,r1b2r1k/ppp2pbp/3p2p1/8/4PP2/P1N2n2/BPP2BqP/R3K1NR w KQ - 0 16
DsjjIzVX,8/8/1p3k1p/p1p4P/P1P5/1P2K3/8/6q1 w - - 0 69
cy4MIRZu,B1R5/4k1p1/pr2p2p/1p3p2/8/3P2PN/1P2bP1P/6K1 w - - 2 37
Gl8mWeS3,2r2r2/pp3pkp/2pp2p1/3P4/3pP3/3P2PP/PP3PK1/2R2R2 w - - 2 21
22eVWYYr,2r4k/1p3pq1/p6p/3p1N2/8/3BP1P1/P4P1P/5K2 w - - 0 23
XT0AedUt,7Q/8/8/8/8/3Q4/k5P1/6K1 w - - 1 59
YlbWYC6C,3rr1k1/pp3ppn/2p4p/3p4/3P3q/2P1PP2/P3Q1PP/2R2RK1 w - - 0 20
30P5D7Bp,r1bq3k/5Qrp/4P3/3p1pp1/pp1B4/6NR/PPP3P1/2K4R w - - 0 26
lsnL9RCe,8/B2k4/1P3p1p/4b1p1/4K1P1/7P/5P2/8 w - - 1 41
QYtqsI6n,6k1/pp3p2/7p/n5p1/3P4/P3P1P1/1Pr2qPK/8 w - - 0 33
aitKBfrd,8/8/8/8/8/3K4/3Q4/1k6 w - - 25 70
EAiJryge,2Q5/5k2/1Q6/8/7p/3P2P1/1P3P1P/5RK1 w - - 0 42
SHAw9X7Q,r6k/p7/1p2pr2/2p1n3/2P5/2P5/P4P1P/3R3K w - - 0 24
3yV7Cwm1,r6k/1p5p/2n1b3/4pq2/3p4/b5B1/PR3PPP/1RQ3K1 w - - 8 38
522mMdut,7k/pp5p/6p1/Kq2p3/2p1P3/P1P5/8/1r6 w - - 3 46
fW8OtWXr,3Q4/5kp1/8/1pp5/2pPbN2/2P1P3/2r5/5K2 w - - 4 32
H6rC09aN,3rkb1r/pp3ppp/5n2/q4b2/1n2p3/2N1BB2/PRP1NPPP/2Q1K2R w Kk - 0 17
RjZDm37n,8/R7/p2kp2K/P2p4/8/7r/6rn/2R5 w - - 6 36
QdcJzbdY,2r1q1k1/1p6/2p2p2/1r2N2p/p2PQ3/P6P/1P4P1/2R4K w - - 0 35
ItH6LzdA,8/7p/8/8/8/8/4K1k1/8 w - - 2 48
RznJXLxz,8/1Q6/6pk/1p5p/7P/q5P1/7K/8 w - - 2 52
Ya7aYQXK,r3kbnr/1ppb1ppp/2npq3/3Np1B1/p3P3/3P1N2/PPP1BPPP/R2Q1RK1 w kq - 0 9
I7Dwtf00,2r5/pp2k1p1/2p1bp1r/2R1n3/8/P7/1PP1B1PP/3R2K1 w - - 1 20
XYmHYXp0,8/7k/5K1P/4B3/1pp5/8/8/8 w - - 0 70
oEMh10sw,8/p1N5/1p4p1/3P2B1/2P5/7P/Pk2p1P1/5RK1 w - - 0 33
Vg8BPXws,7k/2p3pp/p6N/3P4/8/P7/r2r4/2K2RR1 w - - 8 35
BKK07spM,8/2kb4/p7/1p6/1P1R4/6P1/5PK1/8 w - - 0 59
fdG0FDQD,5k2/R6Q/8/3p1p2/1q1PpB2/4P1P1/1P6/R2b2K1 w - - 3 38
OsKXXcYe,rn3q2/ppp3b1/2k5/3p2P1/2P3r1/8/P3K3/R7 w - - 0 29
7XZTCmdN,r5k1/b3Q3/pq2p1pr/4P2p/2B2n2/5N2/P4PPP/3R1R1K w - - 3 25
qoLhGLKJ,4r1k1/4pp1p/5rpB/p5Kb/6q1/P7/8/8 w - - 0 40
3IPPVr9Y,rn1qkb1r/pp2pppp/4bn2/3p4/3p4/5Q2/PPP2PPP/RNB1KBNR w KQkq - 0 7
MlPEI8pA,3r1rk1/pp2bppp/8/4q3/1Pp1P3/2P2BPb/P1Q2P1P/3RR1K1 w - - 0 20
AtUi6SKo,n1r2bk1/1p3p1p/p5b1/P2P4/2PB4/3p3P/1P1N1QP1/R5K1 w - - 7 34
RKCCsQZy,4Rb2/p2n1p1k/1p4pp/2p5/8/2BB2P1/PPP2PKP/3r4 w - - 2 28
QGgvHZqm,8/3k4/3p4/pp2ppR1/2P5/PrB2K2/5P2/8 w - - 3 36
E8l6MAjj,r4k1r/1b4Np/1q3ppB/p2pNP2/Pp6/2P5/1P4PP/n2Q1R1K w - - 0 22
STz2Qeqj,3Q3r/p1p2pkP/1p2p1n1/4q3/8/2P5/PP3PP1/3R1K1R w - - 2 30
mfTQul6W,r2qr1k1/6p1/p1Q2n1p/3ppp2/2pP4/2P1P1BP/PP3PP1/3RR1K1 w - - 1 24
n8qOVv95,rn1qkb1r/p1ppp1pp/1p3n2/5p2/2PP4/2NBP3/PP3PbP/R1BQK1NR w KQkq - 0 6
Uk6KqfG5,8/1p2p3/p3Pkp1/6R1/8/2PNK3/1P5Q/8 w - - 1 52
ISlrJaJp,2b2r1k/p1N3p1/1p3p2/8/4B3/1PPn2P1/P4P1P/3R2K1 w - - 3 27
SPzTcJ0R,7r/2k1b3/1R1p1p1p/P1pP2p1/2P5/2N3P1/6P1/6K1 w - - 5 32
xjht1Box,r7/pp1qb1pk/3p3p/2p5/4n3/P1P5/1Pr3PP/RNR1K3 w - - 0 20
sjS7n7m2,2k2r1r/pppqbBp1/3p1n1p/4p3/3nP3/3Q3P/PPPP1P1P/R1B1R1K1 w - - 3 15
VvXQ3AKo,1Q3rk1/p1rqbppp/1p2p3/2p5/2PP4/4P3/PP1B1PPP/R4RK1 w - - 0 18
AH95kYbN,8/3B4/8/3Q3p/5k2/6pP/4K1P1/8 w - - 13 58
4rmXfkw3,1r4k1/5pp1/3N3p/pb6/3P4/4P3/5PPP/2R3K1 w - - 1 26
hOyqkNpP,1r2r1k1/p2b1pp1/3q1P1p/1pp5/3PB3/P7/2Q3PP/1R3RK1 w - - 1 25
elJbCj3X,1q2r1k1/6pp/4R3/3p2Q1/2b5/5P1P/6P1/7K w - - 8 33
B9PhajXy,4r1k1/1pNq2bp/p2Pr1p1/2p1p3/5Q2/7P/PP2R1P1/4R2K w - - 0 29
QsYI4WeV,r2k1b1r/pp2p1pp/3p4/3B4/2PB1pb1/2N2n1q/PP3P1P/R3KQ1R w KQ - 4 20
xmu5YEcn,r3r1k1/5p1p/p2p1P2/2p5/1p1n1QP1/7q/PP3R2/2NR2K1 w - - 1 35
TVQunaRl,r4r2/pp3p1k/2n2P1p/6q1/8/6B1/PP2QPP1/5RK1 w - - 2 21
1VuCM6PJ,8/8/8/8/7k/8/rK6/8 w - - 0 69
CRrcV5ze,6rk/5Qpp/8/8/7P/5PP1/1p6/1qbR3K w - - 2 42
SACewV8k,r4rk1/ppq2ppp/8/n2P4/P1pP4/4nP1P/1P1NB1P1/R1BQ2K1 w - - 2 21
fPm9lH2d,r5k1/p4p2/1p2PQbp/6p1/2P5/3p1Nq1/P7/5RK1 w - - 1 30
wdp25G8Z,5k2/1p5R/p2p1rp1/3P2q1/P1B3r1/1PQ3P1/5PK1/7R w - - 5 30
H6yQsQ7y,r3r2k/1p4pp/p7/8/P5Pq/2P1pR2/1P6/R1B3QK w - - 7 35
8FT6AXFv,2b3k1/2p2ppp/8/p7/2pp1n2/3P4/PPPKr1PP/R3r3 w - - 4 25
sxFbdCsD,2b5/6R1/p2kp3/3pN1p1/B2P4/5PP1/n2K2Pr/1R6 w - - 7 35
woqCHd9g,1r2r1k1/p4pp1/3n1n1p/2p1pb2/P7/1P1P1B2/2qNQPPP/1R2R1K1 w - - 0 22
87RqRuNl,r3k2r/pp3pp1/2pbpnp1/q7/2PPB3/3Q4/PP3PPP/R1B2RK1 w kq - 3 14
